asset_variant	job_id	status	model	resolution	quality	aspect_ratio	raw_png	min_webp
A-1	fcd86114-d50e-412d-a63c-103d7e4a9976	completed	gpt_image_2	2k	high	16:9	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_213935_fcd86114-d50e-412d-a63c-103d7e4a9976.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_213935_fcd86114-d50e-412d-a63c-103d7e4a9976_min.webp
A-2	8eeee602-b3be-4011-8ab6-24433bf03f13	completed	gpt_image_2	2k	high	16:9	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_213935_8eeee602-b3be-4011-8ab6-24433bf03f13.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_213935_8eeee602-b3be-4011-8ab6-24433bf03f13_min.webp
A-3	90f20e5f-b23c-4c8a-a6e7-e8b02a57f397	completed	gpt_image_2	2k	high	16:9	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_213935_90f20e5f-b23c-4c8a-a6e7-e8b02a57f397.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_213935_90f20e5f-b23c-4c8a-a6e7-e8b02a57f397_min.webp
C-1	13c6c0ff-f754-4430-8495-131fae26b204	completed	gpt_image_2	2k	high	16:9	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214000_13c6c0ff-f754-4430-8495-131fae26b204.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214000_13c6c0ff-f754-4430-8495-131fae26b204_min.webp
C-2	937830b6-8900-4e3c-8bea-f6d9e67e0521	completed	gpt_image_2	2k	high	16:9	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214000_937830b6-8900-4e3c-8bea-f6d9e67e0521.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214000_937830b6-8900-4e3c-8bea-f6d9e67e0521_min.webp
C-3	002fc812-a9d5-41c7-9a6f-0493eddd4881	completed	gpt_image_2	2k	high	16:9	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214000_002fc812-a9d5-41c7-9a6f-0493eddd4881.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214000_002fc812-a9d5-41c7-9a6f-0493eddd4881_min.webp
D1-1	12c690f9-6c93-4a08-ae60-fde9f6262e3c	completed	gpt_image_2	2k	high	1:1	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214027_12c690f9-6c93-4a08-ae60-fde9f6262e3c.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214027_12c690f9-6c93-4a08-ae60-fde9f6262e3c_min.webp
D1-2	551f158c-4395-4c60-a866-fc9399b3f81d	completed	gpt_image_2	2k	high	1:1	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214027_551f158c-4395-4c60-a866-fc9399b3f81d.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214027_551f158c-4395-4c60-a866-fc9399b3f81d_min.webp
D1-3	97c2f5dd-d4d0-411e-8c88-df7d3a7a7a98	completed	gpt_image_2	2k	high	1:1	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214027_97c2f5dd-d4d0-411e-8c88-df7d3a7a7a98.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214027_97c2f5dd-d4d0-411e-8c88-df7d3a7a7a98_min.webp
D2-1	89137d0f-d81d-4ef2-8514-9184ad7437b8	completed	gpt_image_2	2k	high	1:1	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214649_89137d0f-d81d-4ef2-8514-9184ad7437b8.png	https://d8j0ntlcm91z4.cloudfront.net/user_3GHcWRO3Lg7pVlIwA53mmtSyqD9/hf_20260717_214649_89137d0f-d81d-4ef2-8514-9184ad7437b8_min.webp
